2024-12-02 09:13:39.019|INFO|main|w.f.o.OfficeControllerApplication|line-51||Starting OfficeControllerApplication using Java 17.0.11 with PID 4224 (D:\Project\OfficeController\target\classes started by admin in D:\Project\OfficeController)
2024-12-02 09:22:02.826|INFO|http-nio-8088-exec-10|w.f.o.c.s.MyFilter|line-35|traceId_318572397745700|请求耗时：6ms
2024-12-02 09:22:02.827|INFO|http-nio-8088-exec-9|w.f.o.c.s.MyFilter|line-35|traceId_318572397878900|请求耗时：7ms
2024-12-02 09:22:02.875|INFO|http-nio-8088-exec-6|w.f.o.c.s.MyFilter|line-35|traceId_318572414052700|请求耗时：39ms
2024-12-02 09:22:08.104|INFO|http-nio-8088-exec-8|w.f.o.c.s.MyFilter|line-35|traceId_318577639329600|请求耗时：42ms
2024-12-02 09:22:08.130|INFO|http-nio-8088-exec-3|w.f.o.c.s.MyFilter|line-35|traceId_318577639329400|请求耗时：68ms
2024-12-02 09:22:09.079|INFO|http-nio-8088-exec-9|w.f.o.c.s.MyFilter|line-35|traceId_318578649658000|请求耗时：6ms
2024-12-02 09:22:09.081|INFO|http-nio-8088-exec-10|w.f.o.c.s.MyFilter|line-35|traceId_318578649658500|请求耗时：8ms
2024-12-02 09:22:09.131|INFO|http-nio-8088-exec-7|w.f.o.c.s.MyFilter|line-35|traceId_318578664809800|请求耗时：44ms
2024-12-02 09:23:05.919|INFO|http-nio-8088-exec-8|w.f.o.c.s.MyFilter|line-35|traceId_318635492728600|请求耗时：4ms
2024-12-02 09:23:05.922|INFO|http-nio-8088-exec-2|w.f.o.c.s.MyFilter|line-35|traceId_318635492728500|请求耗时：4ms
2024-12-02 09:23:05.967|INFO|http-nio-8088-exec-5|w.f.o.c.s.MyFilter|line-35|traceId_318635512237500|请求耗时：32ms
2024-12-02 09:26:06.549|INFO|http-nio-8088-exec-6|w.f.o.c.s.MyFilter|line-35|traceId_318816120380400|请求耗时：7ms
2024-12-02 09:26:06.550|INFO|http-nio-8088-exec-1|w.f.o.c.s.MyFilter|line-35|traceId_318816120380400|请求耗时：8ms
2024-12-02 09:26:06.601|INFO|http-nio-8088-exec-2|w.f.o.c.s.MyFilter|line-35|traceId_318816146826600|请求耗时：32ms
2024-12-02 09:28:16.004|INFO|http-nio-8088-exec-10|w.f.o.c.s.MyFilter|line-35|traceId_318945575806700|请求耗时：5ms
2024-12-02 09:28:16.004|INFO|http-nio-8088-exec-7|w.f.o.c.s.MyFilter|line-35|traceId_318945575806700|请求耗时：5ms
2024-12-02 09:28:16.062|INFO|http-nio-8088-exec-1|w.f.o.c.s.MyFilter|line-35|traceId_318945603351100|请求耗时：36ms
2024-12-02 09:28:56.593|INFO|http-nio-8088-exec-3|w.f.o.c.s.MyFilter|line-35|traceId_318986163223300|请求耗时：7ms
2024-12-02 09:28:56.594|INFO|http-nio-8088-exec-5|w.f.o.c.s.MyFilter|line-35|traceId_318986163223300|请求耗时：8ms
2024-12-02 09:28:56.651|INFO|http-nio-8088-exec-4|w.f.o.c.s.MyFilter|line-35|traceId_318986186826600|请求耗时：42ms
2024-12-02 09:30:01.455|INFO|http-nio-8088-exec-8|w.f.o.c.s.MyFilter|line-35|traceId_319051027479300|请求耗时：5ms
2024-12-02 09:30:01.457|INFO|http-nio-8088-exec-2|w.f.o.c.s.MyFilter|line-35|traceId_319051027479000|请求耗时：7ms
2024-12-02 09:30:01.510|INFO|http-nio-8088-exec-3|w.f.o.c.s.MyFilter|line-35|traceId_319051048812500|请求耗时：39ms
